DATE;TIME;10MAA50CP012壯XQ03;10MAA50CP012壯XQ02;10MAA50CP012壯XQ01;10MAA50CP011壯XQ02;10MAA50CP011壯XQ01;10MAA50CP011壯XQ03;10MAA50CP013壯XQ01;10MAA50CP013壯XQ02;10MAA50CP013壯XQ03;10MAA50CP001壯XQ01;10MAA50CP012匣Q01低F;10MAA50CP011匣Q03低F;10MAA50CP013匣Q01低F;10MAA50CP011匣Q02利_AL;10MAA50CP011匣Q01低F;10MAA50CP013匣Q02利_AL;10MAA50CP012匣Q03低F;10MAA50CP012匣Q02利_AL;10MAA50CP013匣Q02低F;10MAA50CP013匣Q03低F;10MAA50CP011匣Q02低F;10MAA50CP012匣Q02低F;10MAA50CP001匣Q01低F;
01.01.2023;08:00:00,000;1,0153;1420,9;0,0075955;1489,8;-0,0010848;0,99556;0,010851;6000,0;-5,5353;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;08:30:00,000;1,0153;1421,0;0,0054255;1488,1;-0,0021701;0,99414;0,010851;6000,0;-5,5236;-0,26698;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;09:00:00,000;1,0153;1420,7;0,0075955;1486,4;-0,0021701;0,99358;0,010851;6000,0;-5,5244;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;09:30:00,000;1,0153;1420,1;0,0075955;1484,0;-0,0021701;0,99270;0,0086808;6000,0;-5,5407;-0,27373;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;10:00:00,000;1,0157;1421,6;0,0075955;1482,3;-0,0021701;0,99139;0,0086808;6000,0;-5,5184;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;10:30:00,000;1,0191;1404,0;0,0075955;1475,1;-0,0032549;0,98996;0,0086808;6000,0;-5,5104;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;11:00:00,000;1,0165;1403,6;0,0054255;1475,0;-0,0032549;0,99122;0,0086808;6000,0;-5,4926;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;11:30:00,000;1,0129;1404,5;0,0054255;1484,4;-0,0054250;0,99095;0,0075955;6000,0;-5,5148;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;12:00:00,000;1,0118;1403,6;0,0054255;1483,5;-0,0032549;0,99072;0,0075955;6000,0;-5,5100;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;12:30:00,000;1,0130;1403,7;0,0054255;1487,5;-0,0032549;0,99072;0,0075955;6000,0;-5,5121;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
