Timestamp;Value;Quality;Alarmtype;Suppressed;Auto-Suppressed;Display-Suppressed;Tagname;TagId;Description;Project Status;Gone Text;Raised Text;Priority;Soe;Tagout;
2025.10.27 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;22LCA20AA001§§SD_NOP;29368759;КЛ ЗПОР до РКНД ПИТ КУ;1;[НЕСООТВЕТСТВИЕ СОСТ ОТКР];НЕСООТВЕТСТВИЕ СОСТ ОТКР;0;0;0;
2025.10.27 00:00:00.000 GMT+00:00;0;195;6;0;0;0;22LCA20AA001§§TAGOUT;29371589;КЛ ЗПОР до РКНД ПИТ КУ;1;[РЕЖИМ БЛОКИР КОМАНД];РЕЖИМ БЛОКИР КОМАНД;0;0;0;
2025.10.27 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;22LCA20AA001§§TQ_CL;29372852;КЛ ЗПОР до РКНД ПИТ КУ;1;[СРАБ МУФТЫ ДО КОНЦ ЗАКР];СРАБ МУФТЫ ДО КОНЦ ЗАКР;0;0;0;
2025.10.27 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;22LCA20AA001§§TQ_FBCL;29371324;КЛ ЗПОР до РКНД ПИТ КУ;1;[СРАБ МУФТ ПОСЛЕ КОНЦЕВ ЗАКР];СРАБ МУФТ ПОСЛЕ КОНЦЕВ ЗАКР;0;0;0;
2025.10.27 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;22LCA20AA001§§TQ_FBOP;29369113;КЛ ЗПОР до РКНД ПИТ КУ;1;[СРАБ МУФТ ПОСЛЕ КОНЦЕВ ОТКР];СРАБ МУФТ ПОСЛЕ КОНЦЕВ ОТКР;0;0;0;
2025.10.27 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;22LCA20AA001§§TQ_OP;29372697;КЛ ЗПОР до РКНД ПИТ КУ;1;[СРАБ МУФТЫ ДО КОНЦЕВ ОТКР];СРАБ МУФТЫ ДО КОНЦЕВ ОТКР;0;0;0;
2025.10.27 00:00:00.000 GMT+00:00;0;195;11;0;0;0;22LCA20AA001§§TRBL;29372067;КЛ ЗПОР до РКНД ПИТ КУ;1;ЗАПИТАН;РАСПИТАН;0;0;0;
2025.10.27 00:00:00.000 GMT+00:00;0;195;11;0;0;0;22LCA20AA001§§TRBL_AL;29366827;КЛ ЗПОР до РКНД ПИТ КУ;1;[ОБОБЩЕН ОШИБКА];ОБОБЩЕН ОШИБКА;0;0;0;
2025.10.27 00:00:00.000 GMT+00:00;1;195;9;0;0;0;22LCA20AA001§§XB01;29373218;КЛ ЗПОР до РКНД ПИТ КУ;1;[ОТКРЫТО];ОТКРЫТО;0;0;0;
2025.10.27 00:00:00.000 GMT+00:00;0;195;9;0;0;0;22LCA20AA001§§XB02;29373219;КЛ ЗПОР до РКНД ПИТ КУ;1;[ЗАКРЫТО];ЗАКРЫТО;0;0;0;
