Timestamp;Value;Quality;Alarmtype;Suppressed;Auto-Suppressed;Display-Suppressed;Tagname;TagId;Description;Project Status;Gone Text;Raised Text;Priority;Soe;Tagout;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§RTE S/UP;29378231;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ОШ-КА ИСПОЛН ПУСК $ RTE S/UP;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;11MYB01EC001§§XA01;29366819;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ВКЛ $ ON;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XA02;29366818;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ВЫКЛ $ OFF;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;1;195;-1;0;0;0;11MYB01EC001§§XA03;29366823;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ПУСК ПРОГ $ S/UP PRGM;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XA04;29366822;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ОСТ ПРОГ $ S/D PRGM;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;3;0;0;0;11MYB01EC001§§XN01;29371934;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;РАЗРЕШ ОТСУТ $ RELS MISS;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§XS01;29378357;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 01 $ STEP 01;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS02;29378356;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 02 $ STEP 02;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS03;29378355;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 03 $ STEP 03;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS04;29378354;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 04 $ STEP 04;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS05;29378353;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 05 $ STEP 05;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS06;29378352;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 06 $ STEP 06;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS07;29378351;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 07 $ STEP 07;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS08;29378350;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 08 $ STEP 08;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS09;29378335;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 09 $ STEP 09;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS10;29378345;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 10 $ STEP 10;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;227;-1;0;0;0;11MYB01EC001§§XS11;29378344;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 11 $ STEP 11;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS12;29378339;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 12 $ STEP 12;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS13;29378337;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 13 $ STEP 13;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS14;29378341;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 14 $ STEP 14;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS51;29378162;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 51 $ STEP 51;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS53;29378161;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 53 $ STEP 53;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS54;29378157;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 54 $ STEP 54;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS55;29378159;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 55 $ STEP 55;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS56;29378172;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 56 $ STEP 56;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS57;29378173;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 57 $ STEP 57;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS58;29378169;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 58 $ STEP 58;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS59;29378171;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 59 $ STEP 59;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS60;29378272;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 60 $ STEP 60;0;0;0;
2025.10.28 00:00:00.000 GMT+00:00;0;195;-1;0;0;0;11MYB01EC001§§XS61;29378273;УПГР ГАЗ ТУРБИНЫ $ SGC GAS TURBINE;1;;ШАГ 61 $ STEP 61;0;0;0;
