Timestamp;Value;Quality;Tagname;TagId;Description;Engineering Unit;Project Status;Range Low;Range High;
2025.10.22 00:00:00.000 GMT+00:00;551.1998;195;L0HAJ59CT001§§XQ01;28311622;~T ПАР НА ВЫХ ИЗ ППП-3;°C;1;0.0;800.0;
2025.10.22 00:00:00.000 GMT+00:00;113.06834;195;L0HAJ60CL001§§XQ01;28311796;~L ВОД В ДРЕН ЛИН 1 ИЗ ППП-1;мм;1;0.0;200.0;
2025.10.22 00:00:00.000 GMT+00:00;63.330288;195;L0HAJ60CL002§§XQ01;28311662;~L ВОД В ДРЕН ЛИН 2 ИЗ ППП-1;мм;1;0.0;200.0;
2025.10.22 00:00:00.000 GMT+00:00;497.36264;195;L0HAJ60CT001§§XQ01;28311952;~T ПАР НА ВЫХ ИЗ ППП-1;°C;1;0.0;800.0;
2025.10.22 00:00:00.000 GMT+00:00;212.3093;195;L0HAJ60CT111§§XQ01;28311563;~T МЕТ ЛИН 1 ДРЕН ППП-1;°C;1;0.0;800.0;
2025.10.22 00:00:00.000 GMT+00:00;256.11456;195;L0HAJ60CT112§§XQ01;28311637;~T МЕТ ЛИН 2 ДРЕН ППП-1;°C;1;0.0;800.0;
2025.10.22 00:00:00.000 GMT+00:00;106.03252;195;L0HAJ61CAT99§§OUT;28314707;~СВОЙСТВА МЕТАЛ СД;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;54.409126;195;L0HAJ61CL001§§XQ01;28311602;~L ВОД В ДРЕН ЛИН ИЗ ППП-2;мм;1;0.0;200.0;
2025.10.22 00:00:00.000 GMT+00:00;212.30002;195;L0HAJ61CT111§§XQ01;28311825;~T МЕТ ЛИН 1 ДРЕН ППП-2;°C;1;0.0;800.0;
2025.10.22 00:00:00.000 GMT+00:00;556.57855;195;L0HAJ62CT001§§XQ01;28311681;~T ПАР НА ВЫХ ИЗ ППП-3;°C;1;0.0;800.0;
2025.10.22 00:00:00.000 GMT+00:00;0.1;195;L0HAJ65AA001§§TN;28311852;~РК БАЙП ППП;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;0.0;195;L0HAJ65AA001§§XQ01;28311779;~РК БАЙП ППП;%;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;0.2029994;195;L0HAJ65CG801§§XQ01;28311790;~УП РК БАЙП ППП;%;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;1.7471383;195;L0HNA10CP001§§XQ01;28311741;~P ДЫМ ГАЗ НА ВХ В КОТ;кПа;1;0.0;6.3;
2025.10.22 00:00:00.000 GMT+00:00;1.7240796;195;L0HNA10CP001§§XQ10;28314432;;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;1.7097425;195;L0HNA10CP002§§XQ01;28311920;~P ДЫМ ГАЗ НА ВХ В КОТ;кПа;1;0.0;6.3;
2025.10.22 00:00:00.000 GMT+00:00;1.6938465;195;L0HNA10CP002§§XQ10;28314383;;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;1.6067743;195;L0HNA10CP003§§XQ01;28311858;~P ДЫМ ГАЗ НА ВХ В КОТ;кПа;1;0.0;6.0;
2025.10.22 00:00:00.000 GMT+00:00;1.5625192;195;L0HNA10CP003§§XQ10;28314318;;;1;0.0;100.0;
2025.10.22 00:00:00.000 GMT+00:00;565.69806;195;L0HNA10CT001§§XQ01;28311847;~T ДЫМ ГАЗ НА ВХ В КОТ;°C;1;0.0;800.0;
2025.10.22 00:00:00.000 GMT+00:00;564.96826;195;L0HNA10CT001§§XQ10;28314411;;;1;0.0;100.0;
