DATE;TIME;10LBA96CP901§§XQ01;10LBA96CP001§§XQ01;10LBA96CP003§§XQ01;10LBA96CP901§XQ01§CF;10LBA96CP001§XQ01§CF;10LBA96CP901§XQ01§TRBL_AL;10LBA96CP901§XQ01§Q_AL1;10LBA96CP901§XQ01§Q_AL2;10LBA96CP003§XQ01§CF;
01.01.2023;19:00:00,000;0,055649;0,053892;0,028573;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;19:30:00,000;0,054925;0,056333;0,029056;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;20:00:00,000;0,054977;0,055519;0,028302;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;20:30:00,000;0,054073;0,056062;0,027798;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;21:00:00,000;0,055278;0,055339;0,029586;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;21:30:00,000;0,052988;0,054917;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;22:00:00,000;0,052535;0,055730;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;22:30:00,000;0,056713;0,055339;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;23:00:00,000;0,055339;0,055791;0,029387;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
01.01.2023;23:30:00,000;0,055580;0,053458;0,028980;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;00:00:00,000;0,056182;0,053530;0,028573;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;00:30:00,000;0,054615;0,055122;0,028393;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;01:00:00,000;0,046066;0,046559;0,019784;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;01:30:00,000;0,055761;0,057147;0,029550;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;02:00:00,000;0,057943;0,057560;0,029659;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;02:30:00,000;0,058955;0,057011;0,030221;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;03:00:00,000;0,056243;0,057147;0,029369;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;03:30:00,000;0,056424;0,055791;0,028694;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;04:00:00,000;0,053952;0,054027;0,026093;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;04:30:00,000;0,056604;0,052988;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;05:00:00,000;0,055339;0,055339;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;05:30:00,000;0,055339;0,055339;0,028212;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;06:00:00,000;0,055339;0,055339;0,028573;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
