DATE;TIME;10MAC11CP002§§XQ01;10MAC11CP003§§XQ01;10MAC11CP001§§XQ01;10MAC11CP001§XQ01§CF;10MAC11CP002§XQ01§CF;10MAC11CP003§XQ01§CF;
02.01.2023;03:00:00,000;0,43022;0,40333;0,40056;0,00000000;0,00000000;0,00000000;
02.01.2023;03:30:00,000;0,42916;0,40219;0,40002;0,00000000;0,00000000;0,00000000;
02.01.2023;04:00:00,000;0,42937;0,40226;0,40047;0,00000000;0,00000000;0,00000000;
02.01.2023;04:30:00,000;0,42931;0,40248;0,40052;0,00000000;0,00000000;0,00000000;
02.01.2023;05:00:00,000;0,42901;0,40225;0,40146;0,00000000;0,00000000;0,00000000;
02.01.2023;05:30:00,000;0,42895;0,40214;0,40020;0,00000000;0,00000000;0,00000000;
02.01.2023;06:00:00,000;0,42873;0,40156;0,40074;0,00000000;0,00000000;0,00000000;
02.01.2023;06:30:00,000;0,42895;0,40208;0,40103;0,00000000;0,00000000;0,00000000;
02.01.2023;07:00:00,000;0,42931;0,40201;0,40097;0,00000000;0,00000000;0,00000000;
02.01.2023;07:30:00,000;0,42997;0,40321;0,40157;0,00000000;0,00000000;0,00000000;
02.01.2023;08:00:00,000;0,43070;0,40382;0,40219;0,00000000;0,00000000;0,00000000;
02.01.2023;08:30:00,000;0,43085;0,40400;0,40192;0,00000000;0,00000000;0,00000000;
02.01.2023;09:00:00,000;0,43132;0,40348;0,40128;0,00000000;0,00000000;0,00000000;
02.01.2023;09:30:00,000;0,43136;0,40306;0,40024;0,00000000;0,00000000;0,00000000;
02.01.2023;10:00:00,000;0,43067;0,40379;0,40098;0,00000000;0,00000000;0,00000000;
02.01.2023;10:30:00,000;0,43106;0,40349;0,40116;0,00000000;0,00000000;0,00000000;
02.01.2023;11:00:00,000;0,43054;0,40376;0,40092;0,00000000;0,00000000;0,00000000;
02.01.2023;11:30:00,000;0,43046;0,40327;0,40067;0,00000000;0,00000000;0,00000000;
02.01.2023;12:00:00,000;0,43004;0,40282;0,40026;0,00000000;0,00000000;0,00000000;
02.01.2023;12:30:00,000;0,42939;0,40320;0,40002;0,00000000;0,00000000;0,00000000;
02.01.2023;13:00:00,000;0,42910;0,40157;0,40002;0,00000000;0,00000000;0,00000000;
02.01.2023;13:30:00,000;0,42939;0,40356;0,40017;0,00000000;0,00000000;0,00000000;
02.01.2023;14:00:00,000;0,42913;0,40255;0,40011;0,00000000;0,00000000;0,00000000;
02.01.2023;14:30:00,000;0,42936;0,40247;0,39997;0,00000000;0,00000000;0,00000000;
02.01.2023;15:00:00,000;0,42880;0,40210;0,39975;0,00000000;0,00000000;0,00000000;
02.01.2023;15:30:00,000;0,42907;0,40209;0,39803;0,00000000;0,00000000;0,00000000;
02.01.2023;16:00:00,000;0,42919;0,40245;0,39942;0,00000000;0,00000000;0,00000000;
02.01.2023;16:30:00,000;0,42936;0,40239;0,40031;0,00000000;0,00000000;0,00000000;
02.01.2023;17:00:00,000;0,42919;0,40201;0,40092;0,00000000;0,00000000;0,00000000;
02.01.2023;17:30:00,000;0,42913;0,40165;0,40074;0,00000000;0,00000000;0,00000000;
02.01.2023;18:00:00,000;0,42890;0,40183;0,40038;0,00000000;0,00000000;0,00000000;
02.01.2023;18:30:00,000;0,42910;0,40188;0,40060;0,00000000;0,00000000;0,00000000;
02.01.2023;19:00:00,000;0,42973;0,40235;0,40130;0,00000000;0,00000000;0,00000000;
02.01.2023;19:30:00,000;0,43022;0,40338;0,40172;0,00000000;0,00000000;0,00000000;
02.01.2023;20:00:00,000;0,43004;0,40351;0,40187;0,00000000;0,00000000;0,00000000;
02.01.2023;20:30:00,000;0,43148;0,40345;0,40115;0,00000000;0,00000000;0,00000000;
02.01.2023;21:00:00,000;0,43049;0,40368;0,40074;0,00000000;0,00000000;0,00000000;
02.01.2023;21:30:00,000;0,43040;0,40317;0,40074;0,00000000;0,00000000;0,00000000;
02.01.2023;22:00:00,000;0,43136;0,40354;0,40146;0,00000000;0,00000000;0,00000000;
02.01.2023;22:30:00,000;0,43120;0,40436;0,40187;0,00000000;0,00000000;0,00000000;
02.01.2023;23:00:00,000;0,43019;0,40327;0,40098;0,00000000;0,00000000;0,00000000;
02.01.2023;23:30:00,000;0,42957;0,40282;0,40002;0,00000000;0,00000000;0,00000000;
03.01.2023;00:00:00,000;0,42997;0,40307;0,40020;0,00000000;0,00000000;0,00000000;
03.01.2023;00:30:00,000;0,42931;0,40230;0,39978;0,00000000;0,00000000;0,00000000;
03.01.2023;01:00:00,000;0,42986;0,40224;0,40074;0,00000000;0,00000000;0,00000000;
03.01.2023;01:30:00,000;0,43010;0,40343;0,40088;0,00000000;0,00000000;0,00000000;
03.01.2023;02:00:00,000;0,43035;0,40377;0,40091;0,00000000;0,00000000;0,00000000;
03.01.2023;02:30:00,000;0,43024;0,40323;0,40031;0,00000000;0,00000000;0,00000000;
03.01.2023;03:00:00,000;0,42949;0,40190;0,39998;0,00000000;0,00000000;0,00000000;
03.01.2023;03:30:00,000;0,42855;0,40189;0,39929;0,00000000;0,00000000;0,00000000;
03.01.2023;04:00:00,000;0,42853;0,40157;0,39929;0,00000000;0,00000000;0,00000000;
03.01.2023;04:30:00,000;0,42859;0,40183;0,39939;0,00000000;0,00000000;0,00000000;
03.01.2023;05:00:00,000;0,42799;0,40125;0,39694;0,00000000;0,00000000;0,00000000;
03.01.2023;05:30:00,000;0,42828;0,40162;0,39908;0,00000000;0,00000000;0,00000000;
03.01.2023;06:00:00,000;0,42899;0,40240;0,39966;0,00000000;0,00000000;0,00000000;
03.01.2023;06:30:00,000;0,42877;0,40226;0,39387;0,00000000;0,00000000;0,00000000;
03.01.2023;07:00:00,000;0,42866;0,40204;0,39911;0,00000000;0,00000000;0,00000000;
03.01.2023;07:30:00,000;0,42884;0,40174;0,39911;0,00000000;0,00000000;0,00000000;
03.01.2023;08:00:00,000;0,42931;0,40212;0,40056;0,00000000;0,00000000;0,00000000;
03.01.2023;08:30:00,000;0,42874;0,40183;0,40007;0,00000000;0,00000000;0,00000000;
03.01.2023;09:00:00,000;0,42907;0,40204;0,40064;0,00000000;0,00000000;0,00000000;
03.01.2023;09:30:00,000;0,42895;0,40219;0,40020;0,00000000;0,00000000;0,00000000;
03.01.2023;10:00:00,000;0,42939;0,40229;0,40125;0,00000000;0,00000000;0,00000000;
03.01.2023;10:30:00,000;0,42919;0,40196;0,40038;0,00000000;0,00000000;0,00000000;
03.01.2023;11:00:00,000;0,42835;0,40156;0,40064;0,00000000;0,00000000;0,00000000;
03.01.2023;11:30:00,000;0,42919;0,40219;0,40115;0,00000000;0,00000000;0,00000000;
03.01.2023;12:00:00,000;0,42891;0,40187;0,40074;0,00000000;0,00000000;0,00000000;
03.01.2023;12:30:00,000;0,42606;0,40180;0,39966;0,00000000;0,00000000;0,00000000;
03.01.2023;13:00:00,000;0,42882;0,40168;0,39978;0,00000000;0,00000000;0,00000000;
03.01.2023;13:30:00,000;0,42823;0,40161;0,40017;0,00000000;0,00000000;0,00000000;
03.01.2023;14:00:00,000;0,42859;0,40171;0,40007;0,00000000;0,00000000;0,00000000;
03.01.2023;14:30:00,000;0,42917;0,40213;0,40020;0,00000000;0,00000000;0,00000000;
03.01.2023;15:00:00,000;0,42899;0,40235;0,40053;0,00000000;0,00000000;0,00000000;
03.01.2023;15:30:00,000;0,42823;0,40209;0,39990;0,00000000;0,00000000;0,00000000;
03.01.2023;16:00:00,000;0,42907;0,40226;0,40002;0,00000000;0,00000000;0,00000000;
03.01.2023;16:30:00,000;0,42889;0,40183;0,39957;0,00000000;0,00000000;0,00000000;
03.01.2023;17:00:00,000;0,42877;0,40165;0,39914;0,00000000;0,00000000;0,00000000;
03.01.2023;17:30:00,000;0,42891;0,40193;0,39929;0,00000000;0,00000000;0,00000000;
03.01.2023;18:00:00,000;0,42714;0,40134;0,40101;0,00000000;0,00000000;0,00000000;
03.01.2023;18:30:00,000;0,42766;0,40131;0,40002;0,00000000;0,00000000;0,00000000;
03.01.2023;19:00:00,000;0,42943;0,40259;0,40116;0,00000000;0,00000000;0,00000000;
03.01.2023;19:30:00,000;0,42919;0,40231;0,40159;0,00000000;0,00000000;0,00000000;
03.01.2023;20:00:00,000;0,42954;0,40235;0,40153;0,00000000;0,00000000;0,00000000;
03.01.2023;20:30:00,000;0,42981;0,40250;0,40126;0,00000000;0,00000000;0,00000000;
03.01.2023;21:00:00,000;0,42949;0,40169;0,40086;0,00000000;0,00000000;0,00000000;
03.01.2023;21:30:00,000;0,43004;0,40336;0,40100;0,00000000;0,00000000;0,00000000;
03.01.2023;22:00:00,000;0,42964;0,40219;0,40152;0,00000000;0,00000000;0,00000000;
03.01.2023;22:30:00,000;0,43032;0,40303;0,40197;0,00000000;0,00000000;0,00000000;
03.01.2023;23:00:00,000;0,43092;0,40363;0,40177;0,00000000;0,00000000;0,00000000;
03.01.2023;23:30:00,000;0,43084;0,40255;0,40192;0,00000000;0,00000000;0,00000000;
04.01.2023;00:00:00,000;0,43064;0,40309;0,40110;0,00000000;0,00000000;0,00000000;
04.01.2023;00:30:00,000;0,42975;0,40267;0,40146;0,00000000;0,00000000;0,00000000;
04.01.2023;01:00:00,000;0,43000;0,40235;0,40119;0,00000000;0,00000000;0,00000000;
04.01.2023;01:30:00,000;0,43249;0,40675;0,40445;0,00000000;0,00000000;0,00000000;
04.01.2023;02:00:00,000;0,44068;0,41156;0,41012;0,00000000;0,00000000;0,00000000;
04.01.2023;02:30:00,000;0,42947;0,40311;0,40092;0,00000000;0,00000000;0,00000000;
04.01.2023;03:00:00,000;0,42968;0,40323;0,40014;0,00000000;0,00000000;0,00000000;
04.01.2023;03:30:00,000;0,43417;0,40785;0,40542;0,00000000;0,00000000;0,00000000;
