Timestamp;Value;Quality;Tagname;TagId;Description;Engineering Unit;Project Status;Range Low;Range High;
2024.12.18 00:00:00.000 GMT+00:00;0.0;11;DIAG§CoServer1§PHYS_MEM;28313013;physical memory usage in size MBytes;;2;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;83.0;195;DIAG§CoServer1§PHYS_MEM_USED;28313020;physical memory usage[%];;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;53.0;195;DIAG§CoServer1§TEMP_BOARD;28312939;current temperature IO-board in[°C];;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;76.0;195;DIAG§CoServer1§TEMP_CPU1;28312937;current temperature CPU 1 [°C];;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;19.0;195;DIAG§CoServer1§TEMP_HOUS;28312938;current temperature housing [°C];;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;11;DIAG§CoServer1§VIRTUAL_MEM;28313012;virtual system memory usage in size MBytes;;2;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;42.0;195;DIAG§CoServer1§VIRTUAL_MEM_USED;28313019;virtual system memory usage[%];;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;11;DIAG§CoServer2§HD_PRT1;28313015;available space of partition 1 (c:) in MBytes;;2;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;58.0;227;DIAG§CoServer2§HD_PRT1_USED;28313024;usage space of partition 1 (c:)[%];;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;11;DIAG§CoServer2§HD_PRT2;28313016;available space of partition 2 (d:) in MBytes;;2;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;96.0;227;DIAG§CoServer2§HD_PRT2_USED;28313022;usage space of partition 2 (d:)[%];;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;0.0;11;DIAG§CoServer2§PHYS_MEM;28313017;physical memory usage in size MBytes;;2;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;92.0;195;DIAG§CoServer2§PHYS_MEM_USED;28313023;physical memory usage[%];;1;0.0;100.0;
2024.12.18 00:00:00.000 GMT+00:00;61.0;195;DIAG§CoServer2§TEMP_BOARD;28312934;current temperature IO-board in[°C];;1;0.0;100.0;
